DeviceAddress,Nome,MAC,TAG,LAT,LONG,Grupo,Modelo
000AF52C,Luminaria,5C-CF-7F-0A-F5-2C,L107,-29.67423597,-51.12000968,Grupo 1,0,HDA-01
000AF5C1,Luminaria,5C-CF-7F-0A-F5-C1,L132,-29.68663011,-51.09775882,Grupo 1,0,HDA-01
0006E649,Luminaria,5C-CF-7F-06-E6-49,L160,-29.66839225,-51.08316544,Grupo 1,0,HDA-01
000AF626,Luminaria,5C-CF-7F-0A-F6-26,L150,-29.69386197,-51.1169544,Grupo 1,0,HDA-01
0006E635,Luminaria,5C-CF-7F-06-E6-35,L185,-29.68006709,-51.08600948,Grupo 1,0,HDA-01
0006E4D4,Luminaria,5C-CF-7F-06-E4-D4,L210,-29.6762166,-51.10579626,Grupo 1,0,HDA-01
000AF563,Luminaria,5C-CF-7F-0A-F5-63,L200,-29.66616066,-51.11437617,Grupo 1,0,HDA-01
0006E4ED,Luminaria,5C-CF-7F-06-E4-ED,L175,-29.67122023,-51.09857803,Grupo 1,0,HDA-01
0006E517,Luminaria,5C-CF-7F-06-E5-17,L103,-29.6858548,-51.14928074,Grupo 1,0,HDA-01
0006E401,Luminaria,5C-CF-7F-06-E4-01,L225,-29.67518552,-51.11171122,Grupo 1,0,HDA-01
000AF659,Luminaria,5C-CF-7F-0A-F6-59,L156,-29.67390737,-51.13010081,Grupo 1,0,HDA-01
0006E5BA,Luminaria,5C-CF-7F-06-E5-BA,L146,-29.68848634,-51.07954242,Grupo 1,0,HDA-01
0006E42A,Luminaria,5C-CF-7F-06-E4-2A,L181,-29.69351365,-51.08876314,Grupo 1,0,HDA-01
0006E73B,Luminaria,5C-CF-7F-06-E7-3B,L171,-29.66991777,-51.11324224,Grupo 1,0,HDA-01
0006E65E,Luminaria,5C-CF-7F-06-E6-5E,L206,-29.6841483,-51.14721149,Grupo 1,0,HDA-01
0006E3C5,Luminaria,5C-CF-7F-06-E3-C5,L196,-29.69070173,-51.07763149,Grupo 1,0,HDA-01
0006E49C,Luminaria,5C-CF-7F-06-E4-9C,L083,-29.6764945,-51.15547529,Grupo 1,0,HDA-01
000AF49E,Luminaria,5C-CF-7F-0A-F4-9E,L221,-29.68041941,-51.08476134,Grupo 1,0,HDA-01
000AF57C,Luminaria,5C-CF-7F-0A-F5-7C,L152,-29.67790001,-51.07806905,Grupo 1,0,HDA-01
000AF53E,Luminaria,5C-CF-7F-0A-F5-3E,L142,-29.68982444,-51.10766904,Grupo 1,0,HDA-01
0006E559,Luminaria,5C-CF-7F-06-E5-59,L177,-29.67596991,-51.08006695,Grupo 1,0,HDA-01
000AF47C,Luminaria,5C-CF-7F-0A-F4-7C,L167,-29.68647307,-51.09206212,Grupo 1,0,HDA-01
000AF543,Luminaria,5C-CF-7F-0A-F5-43,L202,-29.69538167,-51.09350018,Grupo 1,0,HDA-01
000AF434,Luminaria,5C-CF-7F-0A-F4-34,L192,-29.68502631,-51.15437234,Grupo 1,0,HDA-01
0006E6B7,Luminaria,5C-CF-7F-06-E6-B7,L227,-29.69077463,-51.09974005,Grupo 1,0,HDA-01
0006E57A,Luminaria,5C-CF-7F-06-E5-7A,L217,-29.67785417,-51.12887597,Grupo 1,0,HDA-01
0006E5AF,Luminaria,5C-CF-7F-06-E5-AF,L148,-29.68486057,-51.13115099,Grupo 1,0,HDA-01
0006E710,Luminaria,5C-CF-7F-06-E7-10,L056,-29.66884652,-51.11502734,Grupo 1,0,HDA-01
0006E69A,Luminaria,5C-CF-7F-06-E6-9A,L173,-29.66725909,-51.11679025,Grupo 1,0,HDA-01
0006E6D0,Luminaria,5C-CF-7F-06-E6-D0,L061,-29.69224181,-51.12471805,Grupo 1,0,HDA-01
000AF588,Luminaria,5C-CF-7F-0A-F5-88,L053,-29.66679782,-51.09638974,Grupo 1,0,HDA-01
0006E34D,Luminaria,5C-CF-7F-06-E3-4D,L066,-29.67500132,-51.09221264,Grupo 1,0,HDA-01
0006E659,Luminaria,5C-CF-7F-06-E6-59,L058,-29.67762685,-51.14645551,Grupo 1,0,HDA-01
0006E77F,Luminaria,5C-CF-7F-06-E7-7F,L071,-29.68567322,-51.09188485,Grupo 1,0,HDA-01
0006E48A,Luminaria,5C-CF-7F-06-E4-8A,L063,-29.68485335,-51.11214872,Grupo 1,0,HDA-01
000AF5DE,Luminaria,5C-CF-7F-0A-F5-DE,L016,-29.67005663,-51.11452466,Grupo 1,0,HDA-01
009E80F1,Luminaria,18-FE-34-9E-80-F1,L021,-29.66576006,-51.08443023,Grupo 1,0,HDA-01
009E81AD,Luminaria,18-FE-34-9E-81-AD,L019,-29.67530065,-51.12840282,Grupo 1,0,HDA-01
000AF547,Luminaria,5C-CF-7F-0A-F5-47,L018,-29.69362087,-51.1313557,Grupo 1,0,HDA-01
009E825A,Luminaria,18-FE-34-9E-82-5A,L017,-29.66847063,-51.1190813,Grupo 1,0,HDA-01
009E82D7,Luminaria,18-FE-34-9E-82-D7,L022,-29.69095484,-51.14547792,Grupo 1,0,HDA-01
009E7CC7,Luminaria,18-FE-34-9E-7C-C7,L023,-29.68032026,-51.09514171,Grupo 1,0,HDA-01
009E81EE,Luminaria,18-FE-34-9E-81-EE,L027,-29.66772914,-51.10065358,Grupo 1,0,HDA-01
000AF5FF,Luminaria,5C-CF-7F-0A-F5-FF,L024,-29.67983019,-51.14395597,Grupo 1,0,HDA-01
009E82A8,Luminaria,18-FE-34-9E-82-A8,L026,-29.66616481,-51.1565456,Grupo 1,0,HDA-01
009E7CC0,Luminaria,18-FE-34-9E-7C-C0,L028,-29.66809697,-51.07627209,Grupo 1,0,HDA-01
009E7E47,Luminaria,18-FE-34-9E-7E-47,L029,-29.66741822,-51.13454194,Grupo 1,0,HDA-01
009E824F,Luminaria,18-FE-34-9E-82-4F,L030,-29.66781425,-51.12342445,Grupo 11,0,HDA-01
0006E3EE,Luminaria,5C-CF-7F-06-E3-EE,L031,-29.68192302,-51.08702834,Grupo 1,0,HDA-01
0006E368,Luminaria,5C-CF-7F-06-E3-68,L032,-29.68360105,-51.09941973,Grupo 1,0,HDA-01
000AF49B,Luminaria,5C-CF-7F-0A-F4-9B,L033,-29.66827688,-51.13795785,Grupo 1,0,HDA-01
0006E336,Luminaria,5C-CF-7F-06-E3-36,L034,-29.69198958,-51.09638731,Grupo 1,0,HDA-01
000AF516,Luminaria,5C-CF-7F-0A-F5-16,L035,-29.67965624,-51.13027165,Grupo 1,0,HDA-01
009E80C6,Luminaria,18-FE-34-9E-80-C6,L036,-29.67301006,-51.1533063,Grupo 1,0,HDA-01
0006E59F,Luminaria,5C-CF-7F-06-E5-9F,L037,-29.68343342,-51.09127305,Grupo 1,0,HDA-01
009E7E98,Luminaria,18-FE-34-9E-7E-98,L038,-29.68895925,-51.1100269,Grupo 1,0,HDA-01
0006E6FA,Luminaria,5C-CF-7F-06-E6-FA,L090,-29.6745468,-51.138138,Grupo 1,0,HDA-01
0006E6F6,Luminaria,5C-CF-7F-06-E6-F6,L147,-29.67996675,-51.137753,Grupo 1,0,HDA-01
0006E717,Luminaria,5C-CF-7F-06-E7-17,L149,-29.6886484,-51.1208049,Grupo 1,0,HDA-01
0006E395,Luminaria,5C-CF-7F-06-E3-95,L209,-29.684601,-51.07732364,Grupo 1,0,HDA-01
000AF64A,Luminaria,5C-CF-7F-0A-F6-4A,L629,-29.66618572,-51.11168761,Grupo 1,0,HDA-01
0006E578,Luminaria,5C-CF-7F-06-E5-78,L634,-29.67982794,-51.12905516,Grupo 1,0,HDA-01
0006E490,Luminaria,5C-CF-7F-06-E4-90,L636,-29.66937582,-51.08234192,Grupo 1,0,HDA-01
0006E675,Luminaria,5C-CF-7F-06-E6-75,L637,-29.68310625,-51.15860577,Grupo 1,0,HDA-01
000AF5F1,Luminaria,5C-CF-7F-0A-F5-F1,L638,-29.67963358,-51.10736871,Grupo 1,0,HDA-01
000AF62D,Luminaria,5C-CF-7F-0A-F6-2D,L639,-29.67937318,-51.14821696,Grupo 1,0,HDA-01
0006E6D5,Luminaria,5C-CF-7F-06-E6-D5,L635,-29.6947818,-51.13951427,Grupo 1,0,HDA-01
0006E345,Luminaria,5C-CF-7F-06-E3-45,L640,-29.68169831,-51.0808504,Grupo 1,0,HDA-01
000AF5D9,Luminaria,5C-CF-7F-0A-F5-D9,L641,-29.68691812,-51.15629819,Grupo 1,0,HDA-01
0006E6D1,Luminaria,5C-CF-7F-06-E6-D1,L642,-29.68415959,-51.11552189,Grupo 1,0,HDA-01
0006E444,Luminaria,5C-CF-7F-06-E4-44,L643,-29.67131694,-51.12028123,Grupo 1,0,HDA-01
0006E327,Luminaria,5C-CF-7F-06-E3-27,L645,-29.67966015,-51.15470956,Grupo 1,0,HDA-01
0006E3E6,Luminaria,5C-CF-7F-06-E3-E6,L646,-29.68535889,-51.08382611,Grupo 1,0,HDA-01
000AF5BD,Luminaria,5C-CF-7F-0A-F5-BD,L556,-29.68056271,-51.14663981,Grupo 1,0,HDA-01
000AF54B,Luminaria,5C-CF-7F-0A-F5-4B,L557,-29.6692811,-51.15726338,Grupo 1,0,HDA-01
0006E4AF,Luminaria,5C-CF-7F-06-E4-AF,L558,-29.68198888,-51.07896717,Grupo 1,0,HDA-01
000AF653,Luminaria,5C-CF-7F-0A-F6-53,L554,-29.68638232,-51.12511036,Grupo 1,0,HDA-01
000AF5D7,Luminaria,5C-CF-7F-0A-F5-D7,L559,-29.68709017,-51.13853809,Grupo 1,0,HDA-01
0006E702,Luminaria,5C-CF-7F-06-E7-02,L561,-29.69199184,-51.13252219,Grupo 1,0,HDA-01
0006E528,Luminaria,5C-CF-7F-06-E5-28,L560,-29.68051862,-51.15564385,Grupo 1,0,HDA-01
0006E6D3,Luminaria,5C-CF-7F-06-E6-D3,L563,-29.69178365,-51.08227968,Grupo 1,0,HDA-01
0006E612,Luminaria,5C-CF-7F-06-E6-12,L562,-29.67464651,-51.1221012,Grupo 1,0,HDA-01
0006E744,Luminaria,5C-CF-7F-06-E7-44,L565,-29.67965418,-51.11341788,Grupo 1,0,HDA-01
0006E433,Luminaria,5C-CF-7F-06-E4-33,L566,-29.68248899,-51.11477765,Grupo 1,0,HDA-01
0006E32F,Luminaria,5C-CF-7F-06-E3-2F,L568,-29.69465159,-51.10997799,Grupo 1,0,HDA-01
0006E639,Luminaria,5C-CF-7F-06-E6-39,L569,-29.69080981,-51.08048917,Grupo 1,0,HDA-01
000AF58A,Luminaria,5C-CF-7F-0A-F5-8A,L567,-29.68618794,-51.10125205,Grupo 1,0,HDA-01
0006E5C5,Luminaria,5C-CF-7F-06-E5-C5,L570,-29.67700966,-51.08958751,Grupo 1,0,HDA-01
0006E6DE,Luminaria,5C-CF-7F-06-E6-DE,L575,-29.67768555,-51.14366908,Grupo 1,0,HDA-01
0006E662,Luminaria,5C-CF-7F-06-E6-62,L572,-29.68180839,-51.09357802,Grupo 1,0,HDA-01
000AF5F8,Luminaria,5C-CF-7F-0A-F5-F8,L574,-29.6899193,-51.10492015,Grupo 1,0,HDA-01
0006E469,Luminaria,5C-CF-7F-06-E4-69,L577,-29.67014974,-51.15235473,Grupo 1,0,HDA-01
000AF583,Luminaria,5C-CF-7F-0A-F5-83,L571,-29.68479159,-51.13320473,Grupo 1,0,HDA-01
000AF592,Luminaria,5C-CF-7F-0A-F5-92,L573,-29.66829446,-51.0909267,Grupo 1,0,HDA-01
000AF5E6,Luminaria,5C-CF-7F-0A-F5-E6,L578,-29.68076448,-51.12084203,Grupo 1,0,HDA-01
0006E4C1,Luminaria,5C-CF-7F-06-E4-C1,L576,-29.68381568,-51.12362631,Grupo 1,0,HDA-01
000AF515,Luminaria,5C-CF-7F-0A-F5-15,L579,-29.67603163,-51.12821852,Grupo 1,0,HDA-01
0006E561,Luminaria,5C-CF-7F-06-E5-61,L582,-29.67643067,-51.08703547,Grupo 1,0,HDA-01
0006E4B0,Luminaria,5C-CF-7F-06-E4-B0,L669,-29.6705288,-51.1190099,Grupo 1,0,HDA-01
000AF528,Luminaria,5C-CF-7F-0A-F5-28,L430,-29.68311967,-51.15819889,Grupo 1,0,HDA-01
0006E479,Luminaria,5C-CF-7F-06-E4-79,L435,-29.67861615,-51.09922115,Grupo 1,0,HDA-01
0006E5F9,Luminaria,5C-CF-7F-06-E5-F9,L440,-29.69094397,-51.1264464,Grupo 1,0,HDA-01
0006E73F,Luminaria,5C-CF-7F-06-E7-3F,L449,-29.68262888,-51.11124671,Grupo 1,0,HDA-01
000AF532,Luminaria,5C-CF-7F-0A-F5-32,L446,-29.68071007,-51.09520707,Grupo 1,0,HDA-01
0006E5B9,Luminaria,5C-CF-7F-06-E5-B9,L457,-29.6901845,-51.11974152,Grupo 1,0,HDA-01
0006E786,Luminaria,5C-CF-7F-06-E7-86,L460,-29.68839198,-51.10452116,Grupo 1,0,HDA-01
0006E48E,Luminaria,5C-CF-7F-06-E4-8E,L465,-29.66838781,-51.12994013,Grupo 1,0,HDA-01
0006E5B2,Luminaria,5C-CF-7F-06-E5-B2,L470,-29.66652127,-51.09345675,Grupo 1,0,HDA-01
000AF6A8,Luminaria,5C-CF-7F-0A-F6-A8,L475,-29.67874187,-51.14628354,Grupo 1,0,HDA-01
000AF6A1,Luminaria,5C-CF-7F-0A-F6-A1,L480,-29.67193102,-51.12812781,Grupo 1,0,HDA-01
000AF591,Luminaria,5C-CF-7F-0A-F5-91,L485,-29.69370347,-51.1217074,Grupo 1,0,HDA-01
000AF57B,Luminaria,5C-CF-7F-0A-F5-7B,L495,-29.69513856,-51.08786949,Grupo 1,0,HDA-01
0006E6C9,Luminaria,5C-CF-7F-06-E6-C9,L490,-29.67927604,-51.11274001,Grupo 1,0,HDA-01
000AF5D4,Luminaria,5C-CF-7F-0A-F5-D4,L500,-29.66780069,-51.12991769,Grupo 1,0,HDA-01
000AF5E7,Luminaria,5C-CF-7F-0A-F5-E7,L505,-29.68737294,-51.12252919,Grupo 1,0,HDA-01
0006E60E,Luminaria,5C-CF-7F-06-E6-0E,L510,-29.69132837,-51.10815686,Grupo 1,0,HDA-01
0006E610,Luminaria,5C-CF-7F-06-E6-10,L515,-29.69411442,-51.07659073,Grupo 1,0,HDA-01
0006E670,Luminaria,5C-CF-7F-06-E6-70,L520,-29.68438857,-51.15711905,Grupo 1,0,HDA-01
0006E6F7,Luminaria,5C-CF-7F-06-E6-F7,L525,-29.68786167,-51.09272534,Grupo 1,0,HDA-01
000AF479,Luminaria,5C-CF-7F-0A-F4-79,L344,-29.66640663,-51.10827021,Grupo 1,0,HDA-01
0006E64E,Luminaria,5C-CF-7F-06-E6-4E,L359,-29.67999418,-51.15201395,Grupo 1,0,HDA-01
0006E59B,Luminaria,5C-CF-7F-06-E5-9B,L384,-29.67377702,-51.10884472,Grupo 1,0,HDA-01
0006E624,Luminaria,5C-CF-7F-06-E6-24,L348,-29.68434795,-51.08164145,Grupo 1,0,HDA-01
0006E4E4,Luminaria,5C-CF-7F-06-E4-E4,L390,-29.67932394,-51.14611131,Grupo 1,0,HDA-01
000AF4D0,Luminaria,5C-CF-7F-0A-F4-D0,L388,-29.69249201,-51.15514296,Grupo 1,0,HDA-01
0006E34A,Luminaria,5C-CF-7F-06-E3-4A,L402,-29.67060833,-51.10515561,Grupo 1,0,HDA-01
000AF4A0,Luminaria,5C-CF-7F-0A-F4-A0,L407,-29.67820328,-51.11849129,Grupo 1,0,HDA-01
0006E416,Luminaria,5C-CF-7F-06-E4-16,L412,-29.68500139,-51.08287046,Grupo 1,0,HDA-01
0006E531,Luminaria,5C-CF-7F-06-E5-31,L422,-29.67458216,-51.1335209,Grupo 1,0,HDA-01
000AF4E3,Luminaria,5C-CF-7F-0A-F4-E3,L427,-29.67236124,-51.12164514,Grupo 1,0,HDA-01
0006E424,Luminaria,5C-CF-7F-06-E4-24,L417,-29.67347607,-51.0920751,Grupo 1,0,HDA-01
000AF5CE,Luminaria,5C-CF-7F-0A-F5-CE,L453,-29.67134792,-51.07997394,Grupo 1,0,HDA-01
000AF5E5,Luminaria,5C-CF-7F-0A-F5-E5,L432,-29.69407637,-51.12156523,Grupo 1,0,HDA-01
000AF48E,Luminaria,5C-CF-7F-0A-F4-8E,L492,-29.68829053,-51.11040333,Grupo 1,0,HDA-01
000AF4FC,Luminaria,5C-CF-7F-0A-F4-FC,L497,-29.68722898,-51.08480368,Grupo 1,0,HDA-01
0006E74B,Luminaria,5C-CF-7F-06-E7-4B,L437,-29.69405032,-51.09640614,Grupo 1,0,HDA-01
0006E778,Luminaria,5C-CF-7F-06-E7-78,L441,-29.69515681,-51.14034364,Grupo 1,0,HDA-01
000AF5AA,Luminaria,5C-CF-7F-0A-F5-AA,L517,-29.68413634,-51.11384047,Grupo 1,0,HDA-01
000AF440,Luminaria,5C-CF-7F-0A-F4-40,L501,-29.68550074,-51.09244787,Grupo 1,0,HDA-01
000AF4FA,Luminaria,5C-CF-7F-0A-F4-FA,L401,-29.6731355,-51.09143637,Grupo 1,0,HDA-01
0006E42E,Luminaria,5C-CF-7F-06-E4-2E,L436,-29.66939749,-51.14872173,Grupo 1,0,HDA-01
000AF5FA,Luminaria,5C-CF-7F-0A-F5-FA,L461,-29.69593503,-51.14216808,Grupo 1,0,HDA-01
000AF64F,Luminaria,5C-CF-7F-0A-F6-4F,L512,-29.66638943,-51.0974092,Grupo 1,0,HDA-01
000AF441,Luminaria,5C-CF-7F-0A-F4-41,L482,-29.67525091,-51.14566689,Grupo 1,0,HDA-01
0006E712,Luminaria,5C-CF-7F-06-E7-12,L528,-29.67363329,-51.09995702,Grupo 1,0,HDA-01
0006E3C1,Luminaria,5C-CF-7F-06-E3-C1,L486,-29.69036102,-51.08302409,Grupo 1,0,HDA-01
000AF4D5,Luminaria,5C-CF-7F-0A-F4-D5,L421,-29.69432909,-51.11349979,Grupo 1,0,HDA-01
000AF484,Luminaria,5C-CF-7F-0A-F4-84,L416,-29.66983922,-51.14483066,Grupo 1,0,HDA-01
0006E5E1,Luminaria,5C-CF-7F-06-E5-E1,L477,-29.69506463,-51.09480943,Grupo 1,0,HDA-01
000AF6B1,Luminaria,5C-CF-7F-0A-F6-B1,L472,-29.67786437,-51.14971978,Grupo 1,0,HDA-01
000AF4F4,Luminaria,5C-CF-7F-0A-F4-F4,L451,-29.68924885,-51.08383092,Grupo 1,0,HDA-01
000AF4D1,Luminaria,5C-CF-7F-0A-F4-D1,L522,-29.69154911,-51.08666451,Grupo 1,0,HDA-01
000AF549,Luminaria,5C-CF-7F-0A-F5-49,L467,-29.6876724,-51.15412905,Grupo 1,0,HDA-01
0006E5F5,Luminaria,5C-CF-7F-06-E5-F5,L466,-29.67583414,-51.13702433,Grupo 1,0,HDA-01
000AF5C9,Luminaria,5C-CF-7F-0A-F5-C9,L507,-29.68060402,-51.09952193,Grupo 1,0,HDA-01
0006E3BA,Luminaria,5C-CF-7F-06-E3-BA,L445,-29.68326459,-51.07927927,Grupo 1,0,HDA-01
0006E6DD,Luminaria,5C-CF-7F-06-E6-DD,L426,-29.66573049,-51.11717604,Grupo 1,0,HDA-01
000AF66C,Luminaria,5C-CF-7F-0A-F6-6C,L443,-29.68927686,-51.13845648,Grupo 1,0,HDA-01
000AF43A,Luminaria,5C-CF-7F-0A-F4-3A,L454,-29.67803822,-51.15274625,Grupo 1,0,HDA-01
0006E3BE,Luminaria,5C-CF-7F-06-E3-BE,L406,-29.6715306,-51.08775745,Grupo 1,0,HDA-01
0006E495,Luminaria,5C-CF-7F-06-E4-95,L476,-29.6898466,-51.10406442,Grupo 1,0,HDA-01
000AF620,Luminaria,5C-CF-7F-0A-F6-20,L471,-29.68200416,-51.15123117,Grupo 1,0,HDA-01
0006E6CE,Luminaria,5C-CF-7F-06-E6-CE,L531,-29.68300496,-51.09287015,Grupo 1,0,HDA-01
0006E41C,Luminaria,5C-CF-7F-06-E4-1C,L526,-29.67367318,-51.15469149,Grupo 1,0,HDA-01
0006E5B7,Luminaria,5C-CF-7F-06-E5-B7,L456,-29.67141164,-51.12185782,Grupo 1,0,HDA-01
0006E745,Luminaria,5C-CF-7F-06-E7-45,L487,-29.68088586,-51.10846141,Grupo 1,0,HDA-01
0006E523,Luminaria,5C-CF-7F-06-E5-23,L411,-29.6956675,-51.10260309,Grupo 1,0,HDA-01
0006E6EE,Luminaria,5C-CF-7F-06-E6-EE,L502,-29.67377607,-51.1380172,Grupo 1,0,HDA-01
0006E72F,Luminaria,5C-CF-7F-06-E7-2F,L431,-29.67850836,-51.11715597,Grupo 1,0,HDA-01
000AF69C,Luminaria,5C-CF-7F-0A-F6-9C,L448,-29.69305895,-51.14066967,Grupo 1,0,HDA-01
0006E3DF,Luminaria,5C-CF-7F-06-E3-DF,L481,-29.66721474,-51.10711479,Grupo 1,0,HDA-01
000AF66F,Luminaria,5C-CF-7F-0A-F6-6F,L516,-29.67622136,-51.0762832,Grupo 1,0,HDA-01
000AF44A,Luminaria,5C-CF-7F-0A-F4-4A,L511,-29.6695661,-51.14011551,Grupo 1,0,HDA-01
0006E5D7,Luminaria,5C-CF-7F-06-E5-D7,L530,-29.68501559,-51.13854286,Grupo 1,0,HDA-01
0006E587,Luminaria,5C-CF-7F-06-E5-87,L521,-29.68346459,-51.12835309,Grupo 1,0,HDA-01
0006E3B8,Luminaria,5C-CF-7F-06-E3-B8,L506,-29.68862013,-51.13239122,Grupo 1,0,HDA-01
0006E696,Luminaria,5C-CF-7F-06-E6-96,L529,-29.67691464,-51.14499853,Grupo 1,0,HDA-01
000AF494,Luminaria,5C-CF-7F-0A-F4-94,L532,-29.68338804,-51.07786254,Grupo 1,0,HDA-01
0006E5DC,Luminaria,5C-CF-7F-06-E5-DC,L533,-29.68516946,-51.12534948,Grupo 1,0,HDA-01
0006E579,Luminaria,5C-CF-7F-06-E5-79,L534,-29.68063378,-51.08780412,Grupo 1,0,HDA-01
0006E33A,Luminaria,5C-CF-7F-06-E3-3A,L535,-29.68616265,-51.10711879,Grupo 1,0,HDA-01
0006E576,Luminaria,5C-CF-7F-06-E5-76,L536,-29.67515021,-51.08737583,Grupo 1,0,HDA-01
0006E700,Luminaria,5C-CF-7F-06-E7-00,L537,-29.68498248,-51.07829445,Grupo 1,0,HDA-01
0006E633,Luminaria,5C-CF-7F-06-E6-33,L538,-29.67159529,-51.11583219,Grupo 1,0,HDA-01
000AF606,Luminaria,5C-CF-7F-0A-F6-06,L539,-29.6717636,-51.09218923,Grupo 1,0,HDA-01
0006E690,Luminaria,5C-CF-7F-06-E6-90,L540,-29.6662348,-51.11639177,Grupo 1,0,HDA-01
